year,race,sex,age,pop
1994,latino,Male,45-49,521481
1994,latino,Male,5-9,1130116
1994,latino,Male,50-54,388585
1994,latino,Male,55-59,306245
1994,latino,Male,60-64,256306
1994,latino,Male,65-69,203047
1994,latino,Male,70-74,141175
1994,latino,Male,75-79,82525
1994,latino,Male,80-84,50225
1994,latino,Male,85+,34920
1994,white,Female,0,1206457
1994,white,Female,1-4,5020219
1994,white,Female,10-14,6193822
1994,white,Female,15-19,5747743
1994,white,Female,20-24,6402561
1994,white,Female,25-29,6922497
1994,white,Female,30-34,8152696
1994,white,Female,35-39,8095455
1994,white,Female,40-44,7353845
1994,white,Female,45-49,6376509
1994,white,Female,5-9,6123108
1994,white,Female,50-54,5200887
1994,white,Female,55-59,4435826
1994,white,Female,60-64,4423125
1994,white,Female,65-69,4608698
1994,white,Female,70-74,4203586
1994,white,Female,75-79,3390394
1994,white,Female,80-84,2438313
1994,white,Female,85+,2211654
1994,white,Male,0,1274836
1994,white,Male,1-4,5292122
1994,white,Male,10-14,6552709
1994,white,Male,15-19,6078099
1994,white,Male,20-24,6555426
1994,white,Male,25-29,6992848
1994,white,Male,30-34,8245217
1994,white,Male,35-39,8132013
1994,white,Male,40-44,7323214
1994,white,Male,45-49,6280315
1994,white,Male,5-9,6463721
1994,white,Male,50-54,5037850
1994,white,Male,55-59,4187458
1994,white,Male,60-64,4008805
1994,white,Male,65-69,3837615
1994,white,Male,70-74,3234457
1994,white,Male,75-79,2271400
1994,white,Male,80-84,1317536
1994,white,Male,85+,824636
1995,amind,Female,0,20609
1995,amind,Female,1-4,91321
1995,amind,Female,10-14,119654
1995,amind,Female,15-19,100890
1995,amind,Female,20-24,96101
1995,amind,Female,25-29,91730
1995,amind,Female,30-34,101354
1995,amind,Female,35-39,98081
1995,amind,Female,40-44,84970
1995,amind,Female,45-49,66705
1995,amind,Female,5-9,124302
1995,amind,Female,50-54,50819
1995,amind,Female,55-59,38659
1995,amind,Female,60-64,30773
1995,amind,Female,65-69,24828
1995,amind,Female,70-74,19411
1995,amind,Female,75-79,12983
1995,amind,Female,80-84,8440
1995,amind,Female,85+,6893
1995,amind,Male,0,21187
1995,amind,Male,1-4,94255
1995,amind,Male,10-14,122509
1995,amind,Male,15-19,105824
1995,amind,Male,20-24,105366
1995,amind,Male,25-29,96617
1995,amind,Male,30-34,99412
1995,amind,Male,35-39,93270
1995,amind,Male,40-44,79387
1995,amind,Male,45-49,62972
1995,amind,Male,5-9,128697
1995,amind,Male,50-54,47240
1995,amind,Male,55-59,35876
